code,peak_size_sqkm
AL012004,1535488.97227085
AL012005,294167.36100346816
AL012006,1803526.0823426915
AL012007,3025721.4274642435
AL012008,377137.64231213863
AL012009,
AL012010,1002108.5924293969
AL012011,323260.8362675474
AL012012,60342.02276994218
AL012013,271539.1024647398
AL012014,1297353.489553757
AL012015,521527.4825116431
AL012016,4693747.342604789
AL012017,3142095.3285205606
AL012018,241368.09107976872
AL012019,
AL012020,1422347.6795772088
AL012021,640056.4558097438
AL012022,785523.8321301402
AL012023,1629234.6147884391
AL012024,2375967.1465664734
AL022004,64113.399193063575
AL022005,38791.30035210569
AL022006,
AL022007,484891.2544013211
AL022008,1280112.9116194877
AL022009,38791.30035210569
AL022010,
AL022011,107484.22805895952
AL022012,310330.40281684545
AL022013,86202.88967134597
AL022014,
AL022015,224127.5131454995
AL022016,10775.361208918246
AL022017,116373.90105631707
AL022018,43101.444835672984
AL022019,521527.4825116431
AL022020,4310.144483567298
AL022021,68962.31173707677
AL022022,241368.09107976872
AL022023,107753.61208918248
AL022024,521527.4825116431
AL032004,293359.2089127993
AL032005,210119.5435739058
AL032006,754275.2846242773
AL032007,4202390.871478116
AL032008,142234.76795772085
AL032009,2129480.758912469
AL032010,72733.68816019816
AL032011,130920.6386883567
AL032012,182103.60443071838
AL032013,120684.04553988436
AL032014,256453.59677225433
AL032015,90513.03415491329
AL032016,1163739.0105631705
AL032017,749965.14014071
AL032018,1396486.8126758046
AL032019,
AL032020,1034434.6760561516
AL032021,349121.70316895115
AL032022,37713.76423121387
AL032023,258608.66901403794
AL032024,52799.26992369942
AL042004,409733.1099691164
AL042005,999414.7521271674
AL042006,82431.51324822458
AL042007,969782.5088026422
AL042008,620660.805633691
AL042009,72733.68816019816
AL042010,87280.42579223779
AL042011,25860.86690140379
AL042012,851792.3035649875
AL042013,52799.269923699416
AL042014,3232608.362675474
AL042015,68962.31173707677
AL042016,116373.90105631706
AL042017,
AL042018,103443.46760561517
AL042019,26938.40302229562
AL042020,38791.30035210569
AL042021,22628.258538728318
AL042023,43101.444835672984
AL042024,620660.805633691
AL052004,72733.68816019816
AL052005,545233.2771712632
AL052006,60342.02276994218
AL052007,21820.106448059447
AL052008,135769.5512323699
AL052009,552776.0300175061
AL052010,
AL052011,145467.37632039635
AL052012,407308.6536971097
AL052013,71117.38397886042
AL052014,129304.33450701897
AL052015,181026.06830982654
AL052016,329726.0529928984
AL052017,16163.041813377371
AL052018,210119.5435739058
AL052019,2527899.7396122213
AL052020,
AL052021,371749.9617076795
AL052022,1515015.7859739054
AL052023,349121.7031689512
AL052024,1275802.7671359202
AL062004,1034434.6760561516
AL062005,266690.18992072664
AL062006,293089.8248825763
AL062007,263996.3496184971
AL062008,495666.6156102394
AL062009,323260.8362675474
AL062010,3685173.5334500405
AL062011,37713.76423121387
AL062012,106676.07596829064
AL062013,38791.30035210569
AL062014,968704.9726817504
AL062015,168095.63485912466
AL062016,51721.73380280758
AL062017,32326.083626754742
AL062018,906207.8776700246
AL062019,67884.77561618495
AL062020,275849.2469483071
AL062021,196111.5740023121
AL062022,5353199.448590585
AL062023,52799.26992369942
AL062024,504286.90457737393
AL072004,853408.6077463252
AL072005,242445.62720066056
AL072006,5120451.646477951
AL072007,168365.0188893476
AL072008,1396486.8126758046
AL072009,293359.2089127993
AL072010,1465449.1244128817
AL072011,101827.16342427745
AL072012,9697.825088026422
AL072013,206886.93521123033
AL072014,872804.257922378
AL072015,68962.31173707677
AL072016,727336.8816019816
AL072017,450410.0985327827
AL072018,106676.07596829064
AL072019,87280.42579223779
AL072020,26938.40302229562
AL072021,470883.2848297274
AL072022,4835982.11056251
AL072023,232747.80211263412
AL072024,116373.90105631707
AL082004,107753.61208918248
AL082005,671843.7713760526
AL082006,4344625.639435837
AL082007,43640.212896118894
AL082008,1413188.622549628
AL082009,
AL082010,174560.85158447557
AL082011,38791.30035210569
AL082012,388990.5396419487
AL082013,
AL082014,1655095.4816898427
AL082015,242445.62720066056
AL082016,
AL082017,969782.5088026422
AL082018,965472.3643190749
AL082019,450410.0985327827
AL082020,290934.75264079263
AL082021,387913.0035210569
AL082022,511829.6574236167
AL082023,2327478.0211263415
AL092004,1717323.1926713453
AL092005,1765004.1660208092
AL092006,4377490.491123037
AL092007,60611.40680016514
AL092008,1765004.1660208087
AL092009,1047365.1095068536
AL092010,
AL092011,2792973.625351609
AL092012,1034434.6760561516
AL092013,1068915.83192469
AL092014,45256.51707745664
AL092015,
AL092016,1435278.1130279105
AL092017,475193.4293132947
AL092018,377137.64231213863
AL092019,3132397.5034325346
AL092020,785523.8321301402
AL092021,1076458.5847709328
AL092022,2152917.1695418656
AL092023,96978.25088026423
AL092024,2217569.3367953748
AL102004,
AL102005,
AL102006,888967.2997357553
AL102007,
AL102008,320028.2279048719
AL102009,58186.95052815854
AL102010,142234.76795772085
AL102011,
AL102012,349121.70316895115
AL102013,165940.562617341
AL102015,355586.9198943021
AL102016,560318.7828637488
AL102018,475193.4293132947
AL102019,495666.6156102394
AL102020,
AL102021,52799.26992369942
AL102022,107753.61208918248
AL102023,1765004.1660208087
AL102024,1206840.4553988436
AL112004,985945.5506160195
AL112005,45256.51707745664
AL112007,266690.18992072664
AL112008,982712.9422533441
AL112009,673460.0755573903
AL112010,6896231.173707679
AL112011,21820.106448059447
AL112012,155165.20140842276
AL112013,87280.42579223779
AL112015,2228344.6980042933
AL112016,64652.167253509484
AL112017,2692762.7661086703
AL112018,
AL112019,
AL112020,87280.42579223779
AL112021,290934.75264079263
AL112022,68962.31173707677
AL112023,38791.30035210569
AL112024,103443.46760561517
AL122004,4364021.28961189
AL122005,1433123.0407861269
AL122007,727336.8816019817
AL122008,3879130.035210569
AL122010,916444.4708184969
AL122011,2177700.500322378
AL122012,2327478.0211263415
AL122013,274771.7108274153
AL122015,5900587.798003632
AL122016,545233.2771712632
AL122017,1515015.7859739054
AL122018,266151.4218602807
AL122019,130381.87062791077
AL122020,474115.89319240284
AL122021,2036543.268485549
AL122022,38791.30035210569
AL122023,161630.4181337737
AL122024,3077443.1612670515
AL132004,1131412.926936416
AL132005,38791.30035210569
AL132007,86202.88967134597
AL132008,9697.825088026422
AL132010,275849.2469483071
AL132011,1090197.1703123036
AL132012,182103.60443071838
AL132013,107753.61208918248
AL132016,182103.60443071838
AL132017,130381.87062791077
AL132018,6284190.657041121
AL132019,4342470.567194053
AL132020,700398.478579686
AL132021,17240.577934269193
AL132022,293089.8248825763
AL132023,3555869.1989430217
AL132024,226282.58538728318
AL142004,161630.4181337737
AL142005,4310144.483567298
AL142007,116373.90105631706
AL142008,80815.20906688685
AL142010,68962.31173707677
AL142011,1280112.9116194877
AL142012,2047318.6296944667
AL142013,2036543.268485549
AL142016,1638932.4398764656
AL142017,407308.6536971098
AL142018,3077443.161267052
AL142019,1396486.8126758048
AL142020,168095.63485912466
AL142021,307097.79445417
AL142022,203654.3268485549
AL142023,1629234.6147884391
AL142024,1760694.0215372413
AL152004,2693840.3022295614
AL152005,1508550.5692485545
AL152007,290934.75264079263
AL152008,378215.17843303044
AL152010,315179.31536085875
AL152011,378215.17843303044
AL152012,271539.1024647398
AL152013,1685266.493074814
AL152016,5333803.798414532
AL152017,1435278.1130279102
AL152018,129304.33450701897
AL152019,
AL152020,
AL152021,1315671.603608918
AL152022,103443.46760561517
AL152023,9920875.06505103
AL152024,543078.2049294796
AL162004,2262825.853872832
AL162005,724104.2732393063
AL162007,6051442.854928487
AL162008,
AL162010,969782.5088026422
AL162011,1085617.6417985132
AL162012,51721.73380280758
AL162016,107753.61208918248
AL162017,310330.40281684545
AL162018,16757841.752109656
AL162019,620660.805633691
AL162020,86202.88967134597
AL162021,52799.26992369942
AL162022,11724670.531423945
AL162023,882502.0830104044
AL162024,87280.42579223779
AL172005,193956.50176052845
AL172007,606114.0680016514
AL172008,310330.40281684545
AL172010,1163739.0105631705
AL172011,640056.4558097438
AL172012,9865920.722885545
AL172017,2948138.8267600327
AL172019,211197.07969479766
AL172020,2180933.108685053
AL172021,103443.46760561517
AL172022,2430921.4887319566
AL172023,452565.17077456636
AL172024,290934.75264079263
AL182005,1002108.5924293969
AL182010,97247.63491048718
AL182011,310330.40281684545
AL182012,7969457.150115934
AL182017,116373.90105631706
AL182019,756430.3568660609
AL182020,51721.73380280758
AL182021,5042869.04577374
AL182023,204731.8629694467
AL182024,290934.75264079263
AL192005,
AL192010,196111.57400231212
AL192011,2182010.6448059455
AL192012,140079.6957159372
AL192017,655141.9615022293
AL192019,9115955.582744837
AL192020,368517.35334500397
AL192021,107753.61208918248
AL192023,68962.31173707677
AL192024,142234.76795772085
AL202005,266690.18992072664
AL202010,210119.5435739058
AL202011,38791.30035210569
AL202019,1282267.9838612715
AL202020,5342424.0873816665
AL202021,387913.00352105685
AL202023,1099086.8433096611
AL212005,87280.42579223779
AL212010,963047.9080470683
AL212020,129304.33450701897
AL212021,4790725.593485053
AL212023,68962.31173707677
AL222005,656758.2656835672
AL222020,387913.0035210569
AL232005,
AL232020,135769.5512323699
AL242005,211197.07969479766
AL242020,1493465.0635560693
AL252005,2943020.5301857963
AL252020,452565.1707745664
AL262005,45525.901107679594
AL262020,592644.8664905035
AL272005,130381.87062791077
AL272020,3685173.5334500405
AL282005,87280.42579223779
AL282020,1406184.6377638313
AL292005,2559148.2871180833
AL292020,646521.6725350948
AL302005,568939.0718308834
AL302020,835090.4936911641
AL312005,471422.0528901733
AL312020,1002108.5924293969
