code,air_temp_250mb,air_temp_500mb
AL011851,236.36407470703125,273.410400390625
AL021851,237.29330444335938,270.0615234375
AL031851,232.70594787597656,267.7712097167969
AL041851,231.94805908203125,267.91876220703125
AL051851,229.9512939453125,265.9778137207031
AL061851,229.1429443359375,266.16925048828125
AL011852,232.6051483154297,268.03399658203125
AL021852,234.2301483154297,270.45263671875
AL031852,238.4315643310547,272.2727966308594
AL041852,235.58816528320312,271.2792053222656
AL051852,237.47543334960938,272.4828186035156
AL011853,232.66481018066406,268.804931640625
AL021853,231.87159729003906,267.701904296875
AL031853,232.890625,267.4900207519531
AL041853,235.75872802734375,268.8485107421875
AL051853,233.92022705078125,269.53460693359375
AL061853,233.72528076171875,269.7081604003906
AL071853,233.08859252929688,271.7881774902344
AL081853,232.9213409423828,266.6041564941406
AL011854,233.72996520996094,269.3721008300781
AL021854,229.4390411376953,265.56524658203125
AL031854,237.925537109375,270.8955993652344
AL041854,238.84996032714844,276.4128723144531
AL051854,236.87953186035156,270.7412414550781
AL011855,234.79742431640625,269.9562683105469
AL021855,232.0066680908203,261.9532165527344
AL031855,234.14663696289062,268.3026428222656
AL041855,232.39682006835938,267.770751953125
AL051855,241.58233642578125,275.6441650390625
AL011856,231.69351196289062,268.41741943359375
AL021856,231.04782104492188,267.05474853515625
AL031856,230.7419891357422,266.4519348144531
AL041856,234.0670166015625,268.0195007324219
AL051856,233.84852600097656,269.51617431640625
AL061856,235.09796142578125,268.90667724609375
AL011857,230.0181121826172,266.1663818359375
AL021857,231.2052459716797,267.04022216796875
AL031857,231.96942138671875,268.1641540527344
AL041857,231.4049835205078,266.28759765625
AL011858,236.23826599121094,271.47802734375
AL021858,227.94210815429688,259.8946228027344
AL031858,233.76739501953125,268.486572265625
AL041858,232.19290161132812,271.1954650878906
AL051858,233.22607421875,267.1932067871094
AL061858,232.94432067871094,271.5586853027344
AL011859,236.10101318359375,271.31231689453125
AL021859,233.03244018554688,269.95989990234375
AL031859,232.2379913330078,267.7226257324219
AL041859,238.50106811523438,267.1476135253906
AL051859,238.9164276123047,272.2104797363281
AL061859,238.4517822265625,273.6092529296875
AL071859,234.28965759277344,271.65423583984375
AL081859,232.0596923828125,267.7060546875
AL011860,232.47531127929688,267.5408020019531
AL021860,234.02291870117188,270.9153137207031
AL041860,238.79615783691406,276.34649658203125
AL031860,233.22113037109375,268.0090026855469
AL051860,233.10894775390625,267.7225341796875
AL061860,236.87213134765625,272.23583984375
AL071860,239.54147338867188,272.91705322265625
AL011861,233.48255920410156,268.8141784667969
AL021861,233.0175323486328,268.5382080078125
AL031861,232.23524475097656,269.4837646484375
AL041861,237.4296112060547,270.97540283203125
AL051861,236.3096160888672,269.38946533203125
AL061861,234.55776977539062,269.1378479003906
AL071861,233.1499786376953,267.6456604003906
AL081861,233.06141662597656,268.29132080078125
AL011862,229.655517578125,265.9758605957031
AL021862,233.2369842529297,270.8564147949219
AL031862,236.71299743652344,270.84039306640625
AL041862,234.84043884277344,267.937255859375
AL051862,236.88748168945312,272.5801696777344
AL061862,234.42140197753906,269.6834411621094
AL011863,235.01364135742188,269.22607421875
AL021863,233.01869201660156,266.0001525878906
AL031863,236.33200073242188,271.3363952636719
AL041863,232.98731994628906,269.64306640625
AL051863,234.71713256835938,268.2691955566406
AL061863,233.67962646484375,270.37701416015625
AL071863,233.46946716308594,267.9984436035156
AL081863,229.83958435058594,264.9093933105469
AL091863,235.15908813476562,272.5684814453125
AL011864,231.66062927246094,267.5792541503906
AL021864,232.8465118408203,267.7765808105469
AL031864,232.2569122314453,267.37445068359375
AL041864,232.3066864013672,267.1646423339844
AL051864,231.05075073242188,266.27435302734375
AL011865,234.0335235595703,268.4653015136719
AL021865,233.7520751953125,268.6291809082031
AL031865,232.40806579589844,268.6943359375
AL041865,237.0642547607422,271.5539245605469
AL051865,233.60232543945312,268.5611572265625
AL061865,236.1356964111328,272.82281494140625
AL071865,233.91615295410156,268.7414245605469
AL011866,232.61224365234375,267.9697570800781
AL021866,232.2384796142578,267.8618469238281
AL031866,237.0463104248047,269.8208923339844
AL041866,236.53366088867188,271.710205078125
AL051866,235.22007751464844,273.0289306640625
AL061866,236.3368377685547,269.85076904296875
AL071866,231.05006408691406,266.2039489746094
AL011867,232.86328125,269.9476623535156
AL021867,232.0409698486328,267.00946044921875
AL031867,234.5843505859375,268.39886474609375
AL041867,234.90972900390625,272.6882629394531
AL051867,235.83859252929688,270.2222900390625
AL061867,234.38641357421875,269.1078796386719
AL071867,242.90354919433594,275.32501220703125
AL081867,235.33863830566406,270.3260498046875
AL091867,231.7301483154297,267.7567443847656
AL011868,240.0732421875,272.0812072753906
AL021868,234.07675170898438,270.22247314453125
AL031868,236.1471710205078,271.04180908203125
AL041868,235.67642211914062,268.639892578125
AL011869,235.2053680419922,262.20953369140625
AL021869,242.02159118652344,275.8291931152344
AL031869,230.73431396484375,268.8504333496094
AL041869,234.91836547851562,269.57501220703125
AL051869,237.5579376220703,271.66754150390625
AL061869,238.9654998779297,272.0040283203125
AL071869,235.71095275878906,269.72833251953125
AL081869,234.65216064453125,268.1512756347656
AL091869,234.907470703125,267.5247802734375
AL101869,238.8495330810547,271.8818664550781
AL011870,235.1908721923828,271.5714416503906
AL021870,237.18447875976562,269.9810485839844
AL031870,233.92320251464844,268.4306640625
AL041870,238.43817138671875,271.6524353027344
AL051870,239.4622039794922,272.4638977050781
AL061870,233.18234252929688,267.83331298828125
AL071870,232.5146026611328,268.26824951171875
AL081870,239.7183380126953,261.54217529296875
AL091870,238.0527801513672,274.8427734375
AL101870,233.31362915039062,269.3023986816406
AL111870,237.65745544433594,271.4461364746094
AL011871,232.99363708496094,267.9750061035156
AL021871,234.341064453125,269.614013671875
AL031871,239.39349365234375,275.0372314453125
AL041871,231.98260498046875,267.5516052246094
AL051871,242.38194274902344,274.88946533203125
AL061871,235.5605926513672,270.6324462890625
AL071871,235.80364990234375,269.8836975097656
AL081871,234.056396484375,267.7656555175781
AL011872,232.63082885742188,267.2135009765625
AL021872,232.03652954101562,268.25958251953125
AL031872,232.464111328125,267.78472900390625
AL041872,232.8630828857422,268.29632568359375
AL051872,231.25672912597656,267.7073059082031
AL011873,231.340576171875,266.2096252441406
AL021873,232.7970733642578,267.6940002441406
AL031873,237.49716186523438,270.96063232421875
AL041873,234.75665283203125,269.3089599609375
AL051873,232.214111328125,267.5054931640625
AL011874,232.70953369140625,267.8492126464844
AL021874,231.255859375,267.32171630859375
AL031874,233.0923309326172,268.40606689453125
AL041874,235.48809814453125,269.87579345703125
AL051874,235.00888061523438,268.37689208984375
AL061874,233.4054412841797,269.1235046386719
AL071874,231.96298217773438,267.5970764160156
AL011875,232.79824829101562,268.5664978027344
AL021875,231.86630249023438,267.9507751464844
AL031875,236.98912048339844,272.8426513671875
AL041875,234.22918701171875,269.3347473144531
AL051875,234.2387237548828,272.27197265625
AL061875,232.1232147216797,267.993408203125
AL011876,231.45867919921875,266.6096496582031
AL021876,238.30630493164062,272.5299377441406
AL031876,232.4601287841797,268.0011901855469
AL041876,232.5805206298828,266.8065185546875
AL051876,233.99441528320312,269.2208251953125
AL011877,232.79200744628906,267.42816162109375
AL021877,235.2298583984375,268.84967041015625
AL031877,239.51983642578125,272.86749267578125
AL041877,236.97149658203125,269.65167236328125
AL051877,236.26841735839844,268.13623046875
AL061877,232.05857849121094,267.8938293457031
AL071877,232.5167236328125,268.7254943847656
AL081877,231.48831176757812,266.913818359375
AL011878,233.25054931640625,268.0308532714844
AL021878,232.54443359375,267.8592834472656
AL031878,233.76953125,267.8340148925781
AL041878,233.35577392578125,268.4338684082031
AL051878,232.46798706054688,267.9515686035156
AL061878,236.30929565429688,271.18841552734375
AL071878,234.16163635253906,268.62396240234375
AL091878,233.54248046875,269.0543518066406
AL081878,234.4049835205078,269.2543640136719
AL101878,239.29779052734375,271.64453125
AL111878,236.51922607421875,270.320556640625
AL121878,231.37619018554688,267.11944580078125
AL011879,232.51644897460938,266.7698974609375
AL021879,231.80299377441406,267.49530029296875
AL031879,235.26727294921875,269.4873962402344
AL041879,236.73077392578125,270.8187561035156
AL051879,232.5618896484375,267.6910705566406
AL061879,231.49685668945312,267.0562438964844
AL071879,233.66319274902344,268.6871032714844
AL081879,231.30767822265625,266.70220947265625
AL011880,232.45947265625,267.1414794921875
AL021880,231.448974609375,267.08770751953125
AL031880,231.4836883544922,266.6402282714844
AL041880,238.04498291015625,274.11181640625
AL051880,233.66168212890625,271.7221984863281
AL061880,234.3170623779297,269.1076965332031
AL071880,235.28915405273438,269.4001159667969
AL081880,229.0951690673828,265.890625
AL091880,232.42381286621094,267.13128662109375
AL101880,233.3385772705078,268.8297119140625
AL111880,229.34603881835938,265.6465148925781
AL011881,235.81312561035156,269.399658203125
AL031881,232.41615295410156,267.95892333984375
AL021881,234.32864379882812,268.27142333984375
AL041881,234.9336700439453,269.2202453613281
AL051881,233.26763916015625,267.39410400390625
AL061881,236.8683319091797,270.7212219238281
AL071881,234.2272186279297,272.02197265625
AL011882,235.4380340576172,268.96038818359375
AL021882,231.8155517578125,267.7654113769531
AL031882,234.75880432128906,268.4761047363281
AL041882,230.7589874267578,266.4981689453125
AL051882,230.73777770996094,267.0626220703125
AL061882,232.67625427246094,267.89300537109375
AL011883,231.28775024414062,267.2926330566406
AL021883,237.2456512451172,272.89825439453125
AL031883,235.91856384277344,273.23883056640625
AL041883,231.31845092773438,265.17974853515625
AL011884,233.4499969482422,269.7459716796875
AL021884,231.76214599609375,267.5144348144531
AL031884,232.28253173828125,267.9083557128906
AL041884,235.34779357910156,270.2726745605469
AL011885,236.29270935058594,270.6116638183594
AL021885,230.93508911132812,266.27935791015625
AL031885,233.39797973632812,268.4884033203125
AL041885,233.2252655029297,268.058837890625
AL051885,231.00888061523438,266.7777404785156
AL061885,234.11270141601562,268.0458984375
AL071885,233.135009765625,269.3881530761719
AL081885,232.06796264648438,267.4772033691406
AL011886,237.76617431640625,270.9156188964844
AL021886,234.43017578125,269.2667541503906
AL031886,232.49887084960938,267.7406005859375
AL041886,232.92271423339844,267.7576904296875
AL051886,232.47225952148438,267.57318115234375
AL061886,235.451904296875,269.1905212402344
AL071886,233.36831665039062,267.23052978515625
AL081886,232.78135681152344,267.6294250488281
AL091886,236.19764709472656,271.3932189941406
AL101886,235.815673828125,270.0018310546875
AL111886,232.79981994628906,265.3170471191406
AL121886,233.66111755371094,268.70001220703125
AL011887,229.12828063964844,261.7762451171875
AL021887,232.45709228515625,267.6868591308594
AL031887,232.60215759277344,267.7377014160156
AL041887,230.63436889648438,266.31475830078125
AL051887,230.50631713867188,266.7916259765625
AL061887,231.46583557128906,267.0506896972656
AL071887,234.573486328125,267.32232666015625
AL081887,235.39659118652344,270.13031005859375
AL091887,231.05967712402344,267.26031494140625
AL101887,233.4212188720703,270.1630859375
AL111887,232.29151916503906,267.8436279296875
AL121887,233.21966552734375,268.5833435058594
AL131887,233.32949829101562,268.20159912109375
AL141887,234.65469360351562,268.1921691894531
AL151887,235.37451171875,268.7474060058594
AL161887,229.99447631835938,265.4365539550781
AL171887,232.01649475097656,265.57440185546875
AL181887,230.48426818847656,265.9958801269531
AL191887,230.61253356933594,266.0296936035156
AL011888,233.39340209960938,267.8266906738281
AL021888,233.86337280273438,267.94427490234375
AL031888,231.30242919921875,266.4745788574219
AL041888,238.3361358642578,271.60760498046875
AL051888,234.2058868408203,268.1104431152344
AL061888,233.38084411621094,268.31591796875
AL071888,234.6880340576172,269.0850830078125
AL081888,231.77044677734375,267.0791931152344
AL091888,229.30799865722656,265.5726318359375
AL011889,232.885009765625,267.86090087890625
AL021889,235.3720245361328,270.2384948730469
AL031889,232.67591857910156,267.56561279296875
AL041889,232.21511840820312,267.60009765625
AL051889,232.2023468017578,268.154052734375
AL061889,232.00653076171875,267.5180969238281
AL071889,231.66905212402344,266.90557861328125
AL081889,232.0306854248047,267.3788146972656
AL091889,233.16783142089844,268.2153625488281
AL011890,231.79266357421875,266.806884765625
AL021890,230.88949584960938,267.107421875
AL031890,234.8065948486328,269.9649353027344
AL041890,234.7712860107422,270.04632568359375
AL011891,233.84378051757812,268.4250183105469
AL021891,231.87716674804688,266.47576904296875
AL031891,236.1957244873047,271.2295227050781
AL041891,235.82717895507812,269.5211181640625
AL051891,232.68218994140625,268.19488525390625
AL061891,237.92538452148438,270.03997802734375
AL071891,234.10841369628906,268.5334777832031
AL081891,235.77662658691406,269.60101318359375
AL091891,232.78590393066406,267.76422119140625
AL101891,232.240234375,266.94140625
AL011892,232.75535583496094,267.93414306640625
AL021892,232.2682342529297,268.2850036621094
AL031892,230.5379638671875,266.5950012207031
AL041892,230.81997680664062,266.171630859375
AL051892,231.28585815429688,266.1924133300781
AL061892,232.09841918945312,267.27691650390625
AL071892,231.52984619140625,267.2314147949219
AL081892,231.40126037597656,266.7942810058594
AL091892,231.76348876953125,267.83251953125
AL011893,233.6478271484375,268.59661865234375
AL021893,232.41937255859375,267.2771911621094
AL031893,231.3477325439453,267.35357666015625
AL041893,234.80824279785156,270.86883544921875
AL051893,230.49575805664062,266.456298828125
AL061893,232.62075805664062,266.4563293457031
AL071893,233.32806396484375,267.25860595703125
AL081893,233.7982635498047,268.0120849609375
AL091893,231.57171630859375,267.29241943359375
AL101893,232.52552795410156,267.61285400390625
AL111893,232.5352783203125,267.5387878417969
AL121893,229.742919921875,266.1096496582031
AL011894,231.45120239257812,266.1219787597656
AL021894,232.83816528320312,267.968017578125
AL031894,230.52340698242188,266.9877624511719
AL041894,231.42567443847656,267.2400817871094
AL051894,233.90309143066406,268.74652099609375
AL061894,231.37802124023438,266.9557189941406
AL071894,231.77337646484375,267.01226806640625
AL011895,232.46942138671875,267.66802978515625
AL021895,231.2838897705078,267.6760559082031
AL031895,236.29171752929688,269.6289978027344
AL041895,234.86424255371094,270.4263000488281
AL051895,231.385498046875,267.142333984375
AL061895,232.7799072265625,268.10552978515625
AL011896,232.8627471923828,267.6425476074219
AL021896,232.76414489746094,267.58050537109375
AL031896,234.4163818359375,268.2481384277344
AL041896,234.06475830078125,268.4201965332031
AL051896,233.40403747558594,267.9704284667969
AL061896,231.93191528320312,267.2602844238281
AL071896,232.18121337890625,266.8896789550781
AL011897,232.8512725830078,267.9483337402344
AL021897,232.88705444335938,267.801025390625
AL031897,236.1375274658203,271.41351318359375
AL041897,232.79652404785156,267.8172912597656
AL051897,231.38583374023438,266.9003601074219
AL061897,233.15850830078125,268.05108642578125
AL011898,232.06349182128906,266.9794006347656
AL021898,232.92501831054688,269.0582275390625
AL031898,227.14028930664062,262.44769287109375
AL041898,231.01467895507812,266.6532897949219
AL051898,233.2300262451172,268.0495910644531
AL061898,233.0071563720703,267.4307861328125
AL071898,232.26431274414062,266.7162780761719
AL081898,234.27682495117188,269.1287841796875
AL091898,231.71456909179688,266.637451171875
AL101898,233.00209045410156,268.0132141113281
AL111898,229.95724487304688,265.839111328125
AL011899,231.0605010986328,266.9369201660156
AL021899,232.26345825195312,267.2879333496094
AL031899,232.23484802246094,268.07879638671875
AL041899,233.1068572998047,268.491455078125
AL051899,232.09300231933594,267.9200134277344
AL061899,232.21046447753906,267.4676818847656
AL071899,231.1833953857422,267.2005920410156
AL081899,230.9659881591797,266.28277587890625
AL091899,232.7978057861328,267.7633361816406
AL101899,232.8638153076172,267.63922119140625
AL011900,231.7750244140625,267.4163818359375
AL021900,231.58480834960938,266.9884338378906
AL031900,231.64857482910156,267.21783447265625
AL041900,234.96420288085938,269.1309814453125
AL051900,230.95021057128906,266.5416564941406
AL061900,233.21107482910156,268.5399475097656
AL071900,230.85467529296875,266.52410888671875
AL011901,233.56503295898438,268.4529113769531
AL021901,231.4760284423828,267.17144775390625
AL031901,231.773193359375,267.1416015625
AL041901,229.5664520263672,266.1916809082031
AL051901,231.68141174316406,267.5245361328125
AL061901,232.53387451171875,266.6792297363281
AL071901,232.98793029785156,267.83135986328125
AL081901,231.74008178710938,267.1683349609375
AL091901,232.06564331054688,267.6548767089844
AL101901,232.85269165039062,267.7898864746094
AL111901,231.2006072998047,266.95684814453125
AL121901,232.4769744873047,267.99365234375
AL131901,232.0465087890625,267.8687744140625
AL011902,234.21347045898438,268.7317199707031
AL021902,235.02215576171875,269.0707092285156
AL031902,231.6591033935547,267.7825012207031
AL041902,233.97207641601562,268.6693115234375
AL051902,230.64024353027344,266.59088134765625
AL011903,231.37586975097656,267.1273498535156
AL021903,230.86248779296875,266.6712646484375
AL031903,232.1158447265625,267.4361877441406
AL041903,230.93508911132812,268.3233337402344
AL051903,231.59548950195312,266.40557861328125
AL061903,231.261962890625,267.238037109375
AL071903,231.56922912597656,267.1338195800781
AL081903,231.58218383789062,266.59698486328125
AL091903,231.5167694091797,267.0133056640625
AL101903,227.35658264160156,263.8636474609375
AL011904,231.86923217773438,267.08770751953125
AL021904,230.12498474121094,266.19195556640625
AL031904,232.2584228515625,267.5547790527344
AL041904,232.4756317138672,267.5657958984375
AL051904,230.86817932128906,265.6240539550781
AL061904,230.47726440429688,266.2029113769531
AL011905,231.76307678222656,267.0500183105469
AL021905,230.80787658691406,266.7259216308594
AL031905,233.5151824951172,268.41632080078125
AL041905,233.71343994140625,268.0924377441406
AL051905,233.20181274414062,268.1766662597656
AL011906,233.21759033203125,268.13720703125
AL021906,232.9982452392578,268.43585205078125
AL031906,229.65267944335938,266.57574462890625
AL041906,231.98350524902344,267.4289855957031
AL051906,232.1888427734375,267.5245666503906
AL061906,233.0367889404297,267.44891357421875
AL071906,230.58128356933594,266.5404052734375
AL081906,232.8242950439453,267.588134765625
AL091906,226.9307098388672,263.7647705078125
AL101906,233.19613647460938,267.4165344238281
AL111906,231.23785400390625,267.12890625
AL011907,231.64215087890625,266.5683288574219
AL021907,230.30101013183594,266.02337646484375
AL031907,232.36886596679688,267.3345947265625
AL041907,230.85061645507812,267.7970275878906
AL051907,226.01528930664062,263.1960754394531
AL011908,225.45358276367188,260.5178527832031
AL021908,230.17076110839844,265.75311279296875
AL031908,230.08572387695312,265.569580078125
AL041908,232.44989013671875,267.26824951171875
AL051908,231.09056091308594,267.31085205078125
AL061908,230.3270263671875,266.7644958496094
AL071908,233.00347900390625,267.5151062011719
AL081908,231.0996856689453,267.23980712890625
AL091908,231.71095275878906,267.359375
AL101908,226.67037963867188,260.4220886230469
AL011909,232.75267028808594,267.5920715332031
AL021909,232.27000427246094,266.89996337890625
AL031909,232.18295288085938,266.9837341308594
AL041909,231.1157989501953,266.5645446777344
AL051909,231.92420959472656,267.1276550292969
AL061909,231.714111328125,267.8118591308594
AL071909,233.2426300048828,267.820068359375
AL081909,230.8553009033203,266.8062744140625
AL091909,231.5360107421875,266.82171630859375
AL101909,232.44044494628906,267.1753845214844
AL111909,231.773193359375,266.8323059082031
AL121909,231.34620666503906,267.5412902832031
AL011910,231.4251708984375,267.12451171875
AL021910,232.04727172851562,266.72674560546875
AL031910,231.16323852539062,266.5870056152344
AL041910,229.0078125,265.5532531738281
AL051910,231.59146118164062,267.3873596191406
AL011911,230.8727264404297,266.10626220703125
AL021911,231.65037536621094,266.9163818359375
AL031911,231.25108337402344,266.9053955078125
AL041911,231.60800170898438,266.9401550292969
AL051911,230.25048828125,265.2685546875
AL061911,230.7559051513672,266.6247863769531
AL011912,231.93734741210938,266.95928955078125
AL021912,229.83154296875,265.79376220703125
AL031912,229.7503204345703,266.0257568359375
AL041912,232.3721923828125,267.66949462890625
AL051912,230.53184509277344,266.3111572265625
AL061912,231.78082275390625,266.8701477050781
AL071912,231.42108154296875,267.4359436035156
AL011913,231.61288452148438,267.1275939941406
AL021913,229.87255859375,266.1983947753906
AL031913,231.41664123535156,266.542236328125
AL041913,228.99732971191406,264.9801330566406
AL051913,225.61700439453125,258.966064453125
AL061913,230.5543975830078,266.717529296875
AL011914,230.48876953125,266.65106201171875
AL011915,232.6279296875,267.6092529296875
AL021915,232.9214324951172,267.59130859375
AL031915,232.19610595703125,267.91302490234375
AL041915,233.6199951171875,268.22711181640625
AL051915,230.2259979248047,265.31732177734375
AL061915,232.88954162597656,267.304443359375
AL011916,230.90060424804688,266.8382263183594
AL021916,232.1394500732422,267.38336181640625
AL031916,230.27001953125,266.6549987792969
