code,formation_datetime,formation_lat,formation_lon
AL032004,2004-08-09 12:00:00,11.4,300.8
AL032005,2005-07-03 18:00:00,18.3,273.3
AL032006,2006-07-18 12:00:00,32.3,286.7
AL032007,2007-07-31 00:00:00,35.5,293.5
AL032008,2008-07-19 00:00:00,31.7,280.2
AL032009,2009-08-15 06:00:00,11.8,328.0
AL032010,2010-07-22 06:00:00,21.5,286.2
AL032011,2011-07-20 06:00:00,33.0,300.5
AL032012,2012-06-17 00:00:00,28.8,291.2
AL032013,2013-07-07 12:00:00,9.3,318.6
AL032014,2014-07-29 06:00:00,9.6,322.9
AL032015,2015-07-12 00:00:00,35.4,284.6
AL032016,2016-06-05 12:00:00,21.6,272.0
AL032017,2017-06-19 18:00:00,23.6,271.4
AL032018,2018-07-05 06:00:00,30.7,291.5
AL032019,2019-07-22 12:00:00,24.6,282.6
AL032020,2020-06-01 18:00:00,19.4,269.1
AL032021,2021-06-17 18:00:00,22.5,267.8
AL032022,2022-07-01 18:00:00,31.8,279.5
AL032023,2023-06-19 06:00:00,10.7,322.7
AL032024,2024-06-30 18:00:00,19.7,264.6
AL041851,1851-08-16 00:00:00,13.4,312.0
AL041852,1852-09-22 00:00:00,16.1,301.5
AL041853,1853-09-08 00:00:00,37.0,307.0
AL041854,1854-09-18 00:00:00,28.2,266.4
AL041855,1855-08-24 00:00:00,12.0,304.1
AL041856,1856-08-21 12:00:00,23.0,277.5
AL041857,1857-09-24 00:00:00,16.0,305.3
AL041858,1858-09-17 00:00:00,18.4,318.6
AL041859,1859-09-12 06:00:00,35.5,302.5
AL041860,1860-09-11 00:00:00,25.1,276.2
AL041861,1861-09-17 12:00:00,28.5,310.0
AL041862,1862-10-06 00:00:00,13.0,299.0
AL041863,1863-08-27 00:00:00,29.5,284.5
AL041864,1864-09-05 00:00:00,33.0,287.5
AL041865,1865-09-06 00:00:00,16.0,304.5
AL041866,1866-09-18 12:00:00,15.0,330.5
AL041867,1867-08-31 00:00:00,30.8,288.4
AL041868,1868-10-15 00:00:00,26.1,286.7
AL041869,1869-09-01 00:00:00,28.0,287.0
AL041870,1870-09-09 00:00:00,24.2,296.0
AL041871,1871-08-17 00:00:00,11.2,329.3
AL041872,1872-09-30 00:00:00,13.0,328.3
AL041873,1873-09-22 00:00:00,22.2,273.9
AL041874,1874-09-02 00:00:00,20.4,265.4
AL041875,1875-09-24 00:00:00,23.4,266.6
AL041876,1876-09-29 00:00:00,14.1,301.2
AL041877,1877-09-21 00:00:00,11.7,304.5
AL041878,1878-08-25 00:00:00,24.7,282.9
AL041879,1879-08-29 00:00:00,23.5,271.5
AL041880,1880-08-24 00:00:00,24.7,302.5
AL041881,1881-08-16 00:00:00,20.2,273.0
AL041882,1882-09-21 00:00:00,28.5,283.2
AL041883,1883-10-22 00:00:00,27.5,282.4
AL041884,1884-10-07 00:00:00,16.2,283.4
AL041885,1885-09-17 00:00:00,21.2,264.5
AL041886,1886-07-14 06:00:00,18.9,277.1
AL041887,1887-07-20 00:00:00,12.0,302.4
AL041888,1888-08-31 00:00:00,19.3,299.7
AL041889,1889-09-01 00:00:00,11.9,305.0
AL041890,1890-10-31 00:00:00,14.3,279.7
AL041891,1891-09-02 06:00:00,19.3,301.8
AL041892,1892-09-08 18:00:00,22.0,267.2
AL041893,1893-08-15 06:00:00,14.0,323.5
AL041894,1894-09-18 00:00:00,13.4,309.5
AL041895,1895-10-02 00:00:00,17.4,277.1
AL041896,1896-09-22 06:00:00,16.7,298.2
AL041897,1897-09-25 00:00:00,19.6,277.1
AL041898,1898-09-05 12:00:00,11.2,333.1
AL041899,1899-08-29 06:00:00,16.8,302.7
AL041900,1900-09-11 00:00:00,20.0,274.8
AL041901,1901-08-02 00:00:00,32.6,321.6
AL041902,1902-10-03 00:00:00,14.0,266.2
AL041903,1903-09-12 00:00:00,22.5,304.4
AL041904,1904-10-12 06:00:00,15.3,284.3
AL041905,1905-10-01 06:00:00,11.0,280.8
AL041906,1906-08-25 12:00:00,14.0,339.0
AL041907,1907-10-17 06:00:00,26.3,292.6
AL041908,1908-07-29 00:00:00,29.6,266.0
AL041909,1909-07-13 12:00:00,12.3,299.5
AL041910,1910-09-24 06:00:00,27.8,299.5
AL041911,1911-09-03 12:00:00,12.0,303.0
AL041912,1912-09-10 12:00:00,29.0,276.0
AL041913,1913-08-30 12:00:00,28.5,287.5
AL041915,1915-08-31 12:00:00,15.0,280.5
AL041916,1916-07-11 06:00:00,25.9,288.8
AL041917,1917-09-20 00:00:00,13.4,302.9
AL041918,1918-08-31 12:00:00,35.0,309.0
AL041919,1919-09-29 00:00:00,27.5,284.5
AL041920,1920-09-23 12:00:00,32.5,303.0
AL041921,1921-09-08 00:00:00,23.0,296.6
AL041922,1922-10-11 00:00:00,12.0,284.5
AL041923,1923-09-10 00:00:00,27.0,287.0
AL041924,1924-08-26 00:00:00,13.7,312.0
AL041925,1925-11-27 00:00:00,20.2,274.1
AL041926,1926-09-01 00:00:00,13.8,318.8
AL041927,1927-09-23 00:00:00,19.0,310.8
AL041928,1928-09-06 00:00:00,14.2,343.0
AL041929,1929-10-15 00:00:00,31.8,322.6
AL041931,1931-08-16 06:00:00,14.2,300.7
AL041932,1932-08-30 18:00:00,18.8,296.4
AL041933,1933-07-24 12:00:00,31.0,303.0
AL041934,1934-08-20 18:00:00,13.5,302.3
AL041935,1935-08-30 00:00:00,20.5,274.0
AL041936,1936-07-26 06:00:00,23.2,275.5
AL041937,1937-09-09 00:00:00,17.9,305.5
AL041938,1938-08-23 06:00:00,13.9,286.2
AL041939,1939-09-23 00:00:00,19.3,265.8
AL041940,1940-08-26 12:00:00,26.2,294.7
AL041941,1941-09-23 18:00:00,13.7,299.7
AL041942,1942-08-25 06:00:00,27.5,297.5
AL041943,1943-09-01 06:00:00,24.5,300.5
AL041944,1944-08-16 18:00:00,12.1,300.5
AL041945,1945-08-17 18:00:00,17.4,306.5
AL041946,1946-09-12 00:00:00,23.5,281.0
AL041947,1947-09-04 06:00:00,14.5,339.9
AL041948,1948-08-30 18:00:00,12.9,304.6
AL041949,1949-09-03 00:00:00,18.5,294.6
AL041950,1950-08-30 18:00:00,15.2,304.4
AL041951,1951-08-12 00:00:00,12.1,315.9
AL041952,1952-08-31 06:00:00,15.4,306.1
AL041953,1953-08-28 06:00:00,14.0,339.5
AL041954,1954-07-10 12:00:00,31.8,279.0
AL041955,1955-08-21 12:00:00,11.4,318.0
AL041956,1956-09-07 00:00:00,24.8,285.0
AL041957,1957-09-02 06:00:00,13.0,338.7
AL041958,1958-08-23 18:00:00,25.0,287.0
AL041959,1959-07-04 12:00:00,31.5,281.0
AL041960,1960-08-17 18:00:00,26.0,285.3
AL041961,1961-09-05 12:00:00,13.5,342.3
AL041962,1962-09-29 06:00:00,14.5,311.1
AL041963,1963-09-16 12:00:00,26.7,266.3
AL041964,1964-08-08 06:00:00,33.0,293.0
AL041965,1965-09-16 06:00:00,13.3,339.9
AL041966,1966-07-21 06:00:00,31.5,316.0
AL041970,1970-07-31 00:00:00,18.5,277.5
AL041971,1971-08-03 12:00:00,31.0,296.5
AL041972,1972-07-10 12:00:00,27.0,281.5
AL041973,1973-07-01 18:00:00,26.0,292.2
AL041974,1974-07-13 12:00:00,28.5,273.0
AL041975,1975-07-24 00:00:00,26.0,291.6
AL041976,1976-07-20 12:00:00,31.0,288.0
AL041977,1977-08-01 12:00:00,11.5,342.5
AL041978,1978-07-30 18:00:00,25.7,263.0
AL041979,1979-07-09 12:00:00,22.0,264.0
AL041980,1980-07-31 12:00:00,11.0,330.0
AL041981,1981-06-03 06:00:00,19.4,265.7
AL041982,1982-09-06 00:00:00,16.8,307.0
AL041983,1983-08-23 18:00:00,26.0,284.0
AL041984,1984-08-06 12:00:00,37.0,291.8
AL041985,1985-08-12 00:00:00,18.5,279.3
AL041986,1986-08-04 06:00:00,24.0,267.1
AL041987,1987-08-13 00:00:00,12.5,313.0
AL041988,1988-08-31 18:00:00,20.1,269.0
AL041989,1989-07-30 12:00:00,22.5,270.0
AL041990,1990-07-31 00:00:00,10.1,337.8
AL041991,1991-08-24 12:00:00,14.5,336.9
AL041992,1992-08-16 18:00:00,10.8,324.5
AL041993,1993-08-14 12:00:00,14.1,300.5
AL041994,1994-08-16 12:00:00,11.3,320.6
AL041995,1995-07-28 18:00:00,26.2,273.4
AL041996,1996-08-19 06:00:00,17.3,279.8
AL041997,1997-07-13 00:00:00,31.3,286.4
AL041998,1998-08-24 06:00:00,13.4,325.7
AL041999,1999-08-19 00:00:00,13.5,341.1
AL042000,2000-08-08 12:00:00,28.2,285.8
AL042001,2001-08-14 18:00:00,12.8,323.0
AL042002,2002-08-29 12:00:00,9.5,328.8
AL042003,2003-07-07 00:00:00,11.1,306.5
AL042004,2004-08-13 12:00:00,12.3,338.2
AL042005,2005-07-04 18:00:00,12.0,299.2
AL042006,2006-08-01 00:00:00,16.3,301.9
AL042007,2007-08-13 06:00:00,12.2,331.1
AL042008,2008-07-20 12:00:00,17.8,276.4
AL042009,2009-08-16 06:00:00,27.0,276.6
AL042010,2010-08-02 12:00:00,12.5,319.3
AL042011,2011-07-27 06:00:00,21.6,274.3
AL042012,2012-06-23 12:00:00,25.5,272.4
AL042013,2013-07-22 18:00:00,11.3,340.0
AL042014,2014-08-23 18:00:00,21.5,287.8
AL042015,2015-08-17 00:00:00,9.6,330.7
AL042016,2016-06-18 18:00:00,19.4,268.4
AL042017,2017-07-05 12:00:00,11.8,324.1
AL042018,2018-08-02 18:00:00,41.2,326.3
AL042019,2019-08-20 18:00:00,40.1,300.3
AL042020,2020-06-22 06:00:00,38.6,292.9
AL042021,2021-06-27 18:00:00,29.8,287.2
AL042023,2023-06-22 00:00:00,10.4,320.1
AL042024,2024-08-02 12:00:00,20.4,284.2
AL051851,1851-09-13 00:00:00,32.5,286.5
AL051852,1852-10-06 00:00:00,17.0,286.2
AL051853,1853-09-21 12:00:00,20.0,265.0
AL051854,1854-10-20 00:00:00,25.0,292.4
AL051855,1855-09-15 00:00:00,26.7,270.9
AL051856,1856-08-25 00:00:00,21.0,290.2
AL051858,1858-09-22 12:00:00,21.9,286.0
AL051859,1859-09-15 00:00:00,28.0,271.0
AL051860,1860-09-18 00:00:00,22.2,293.9
AL051861,1861-09-27 06:00:00,28.5,282.5
AL051862,1862-10-14 00:00:00,33.0,290.4
AL051863,1863-09-09 00:00:00,18.5,299.8
AL051864,1864-10-22 00:00:00,28.5,288.0
AL051865,1865-09-07 00:00:00,29.7,268.0
AL051866,1866-09-22 00:00:00,40.0,297.5
AL051867,1867-09-08 12:00:00,17.0,302.0
AL051869,1869-09-04 00:00:00,26.2,271.6
AL051870,1870-09-17 00:00:00,30.2,291.9
AL051871,1871-08-30 00:00:00,26.7,294.4
AL051872,1872-10-22 00:00:00,23.4,270.7
AL051873,1873-09-26 00:00:00,14.7,297.7
AL051874,1874-09-08 00:00:00,25.8,289.4
AL051875,1875-10-07 00:00:00,23.7,291.5
AL051876,1876-10-12 00:00:00,12.0,281.0
AL051877,1877-09-24 00:00:00,21.2,292.0
AL051878,1878-09-01 00:00:00,8.5,305.8
AL051879,1879-10-03 00:00:00,14.5,282.4
AL051880,1880-08-26 00:00:00,19.5,317.5
AL051881,1881-08-21 00:00:00,17.6,303.0
AL051882,1882-09-24 00:00:00,30.3,283.2
AL051885,1885-09-18 00:00:00,15.0,306.3
AL051886,1886-08-12 06:00:00,10.5,302.0
AL051887,1887-07-30 06:00:00,9.9,309.9
AL051888,1888-09-06 06:00:00,23.5,288.3
AL051889,1889-09-02 00:00:00,15.9,317.1
AL051891,1891-09-16 00:00:00,19.3,313.5
AL051892,1892-09-12 00:00:00,15.3,340.5
AL051893,1893-08-15 12:00:00,32.2,299.6
AL051894,1894-10-01 00:00:00,12.5,280.9
AL051895,1895-10-12 00:00:00,12.0,315.2
AL051896,1896-10-07 00:00:00,22.5,268.8
AL051897,1897-10-09 18:00:00,12.4,298.3
AL051898,1898-09-12 06:00:00,12.9,280.9
AL051899,1899-09-03 00:00:00,13.2,321.6
AL051900,1900-10-04 06:00:00,21.2,298.7
AL051901,1901-08-18 12:00:00,11.5,307.0
AL051902,1902-11-01 00:00:00,20.0,292.7
AL051903,1903-09-19 00:00:00,20.8,288.4
AL051904,1904-10-19 06:00:00,25.8,314.6
AL051905,1905-10-05 06:00:00,23.0,271.1
AL051906,1906-09-03 12:00:00,10.2,327.0
AL051907,1907-11-06 00:00:00,31.5,320.3
AL051908,1908-08-30 12:00:00,33.0,287.5
AL051909,1909-08-06 00:00:00,16.6,280.5
AL051910,1910-10-09 06:00:00,11.2,280.5
AL051911,1911-09-15 12:00:00,34.0,305.0
AL051912,1912-10-03 12:00:00,28.5,271.5
AL051913,1913-10-02 12:00:00,41.0,289.0
AL051915,1915-09-19 12:00:00,25.5,296.5
AL051916,1916-08-04 12:00:00,24.0,266.0
AL051918,1918-09-02 00:00:00,24.6,303.0
AL051919,1919-11-10 00:00:00,32.0,301.5
AL051920,1920-09-25 06:00:00,25.0,277.0
AL051921,1921-10-15 12:00:00,24.0,276.0
AL051922,1922-10-12 00:00:00,16.5,275.5
AL051923,1923-09-24 18:00:00,21.0,287.0
AL051924,1924-09-13 00:00:00,24.0,275.5
AL051926,1926-09-10 06:00:00,25.6,305.7
AL051927,1927-09-30 12:00:00,23.0,291.0
AL051928,1928-09-08 12:00:00,18.0,312.0
AL051929,1929-10-19 12:00:00,26.5,308.5
AL051931,1931-09-01 00:00:00,18.6,299.1
AL051932,1932-09-04 00:00:00,36.8,312.8
AL051933,1933-07-24 12:00:00,14.0,305.5
AL051934,1934-08-26 06:00:00,27.4,270.6
AL051935,1935-09-23 06:00:00,14.8,285.3
AL051936,1936-07-27 06:00:00,23.6,286.0
AL051937,1937-09-10 06:00:00,31.3,294.5
AL051938,1938-09-09 12:00:00,13.0,314.0
AL051939,1939-10-11 12:00:00,17.5,297.5
AL051940,1940-09-07 18:00:00,15.2,312.7
AL051941,1941-10-03 18:00:00,21.2,297.6
AL051942,1942-09-15 18:00:00,12.5,301.2
AL051943,1943-09-13 00:00:00,26.0,282.2
AL051944,1944-08-18 12:00:00,20.5,275.0
AL051945,1945-08-24 00:00:00,20.5,265.6
AL051946,1946-10-01 12:00:00,32.5,323.5
AL051947,1947-09-07 00:00:00,27.7,274.4
AL051948,1948-09-01 18:00:00,24.3,265.2
AL051949,1949-09-03 06:00:00,23.7,271.0
AL051950,1950-09-01 06:00:00,19.7,276.8
AL051951,1951-08-27 06:00:00,12.3,334.4
AL051952,1952-09-08 00:00:00,42.0,337.0
AL051953,1953-08-29 18:00:00,26.3,279.1
AL051954,1954-07-27 12:00:00,27.8,269.9
AL051955,1955-08-25 18:00:00,24.6,274.9
AL051956,1956-09-10 06:00:00,20.5,268.9
AL051957,1957-09-07 06:00:00,23.9,270.2
AL051958,1958-08-30 06:00:00,12.5,302.0
AL051959,1959-07-22 18:00:00,27.5,268.8
AL051960,1960-08-29 18:00:00,10.2,337.2
AL051961,1961-09-10 12:00:00,11.2,329.0
AL051962,1962-10-14 06:00:00,22.5,287.0
AL051963,1963-09-19 06:00:00,14.0,321.7
AL051964,1964-08-20 18:00:00,13.1,315.7
AL051965,1965-09-24 12:00:00,17.3,275.0
AL051966,1966-07-22 12:00:00,10.0,325.0
AL051968,1968-08-10 06:00:00,25.9,280.0
AL051969,1969-07-25 12:00:00,11.0,305.0
AL051970,1970-08-02 12:00:00,14.0,342.0
AL051971,1971-08-06 12:00:00,25.5,275.5
AL051972,1972-07-16 12:00:00,37.0,321.5
AL051973,1973-07-19 12:00:00,10.5,326.0
AL051974,1974-07-16 00:00:00,29.0,285.0
AL051975,1975-07-25 06:00:00,21.0,267.5
AL051976,1976-07-23 12:00:00,10.5,336.0
AL051977,1977-08-29 12:00:00,26.9,271.6
AL051978,1978-08-05 12:00:00,25.3,269.6
AL051979,1979-07-10 12:00:00,30.0,280.2
AL051980,1980-08-13 00:00:00,15.0,339.0
AL051981,1981-06-17 12:00:00,19.5,268.4
AL051982,1982-09-09 00:00:00,26.2,269.0
AL051983,1983-09-10 12:00:00,30.2,295.6
AL051984,1984-08-18 06:00:00,33.0,295.0
AL051985,1985-08-28 00:00:00,19.8,286.0
AL051986,1986-08-13 12:00:00,30.1,276.0
AL051987,1987-08-18 00:00:00,14.8,340.0
AL051988,1988-09-03 00:00:00,32.5,299.5
AL051989,1989-07-31 06:00:00,14.8,318.2
AL051990,1990-08-04 00:00:00,13.2,280.5
AL051991,1991-08-28 12:00:00,10.5,329.2
AL051992,1992-09-17 18:00:00,33.8,301.0
AL051993,1993-08-22 18:00:00,19.9,307.4
AL051994,1994-08-29 12:00:00,20.5,267.0
AL051995,1995-07-31 00:00:00,22.3,286.8
AL051996,1996-08-19 18:00:00,12.4,340.1
AL051997,1997-07-16 12:00:00,27.4,267.4
AL051998,1998-08-31 12:00:00,21.6,266.5
AL051999,1999-08-24 00:00:00,21.5,292.3
AL052000,2000-08-13 18:00:00,22.5,266.5
AL052001,2001-08-22 12:00:00,17.9,295.7
AL052002,2002-09-01 18:00:00,29.2,281.2
AL052003,2003-07-16 12:00:00,30.8,305.9
AL052004,2004-08-13 18:00:00,9.0,314.4
AL052005,2005-07-11 00:00:00,10.7,317.6
AL052006,2006-08-21 18:00:00,11.6,338.3
AL052007,2007-08-15 00:00:00,23.7,269.3
AL052008,2008-08-03 12:00:00,28.1,272.6
AL052009,2009-08-26 09:00:00,24.3,290.4
AL052010,2010-08-10 06:00:00,25.7,277.0
AL052011,2011-08-02 00:00:00,14.9,298.6
AL052012,2012-08-01 12:00:00,11.6,313.3
AL052013,2013-08-15 00:00:00,13.9,336.7
AL052014,2014-09-01 12:00:00,19.2,267.7
AL052015,2015-08-24 18:00:00,14.3,314.9
AL052016,2016-08-02 06:00:00,16.3,282.5
AL052017,2017-07-17 00:00:00,10.3,312.3
AL052018,2018-08-15 00:00:00,36.9,314.5
AL052019,2019-08-24 06:00:00,10.3,313.6
AL052020,2020-07-04 06:00:00,30.4,288.8
AL052021,2021-06-30 18:00:00,9.4,317.2
AL052022,2022-08-31 12:00:00,37.5,313.4
AL052023,2023-07-11 12:00:00,36.5,304.5
AL052024,2024-08-11 18:00:00,14.4,312.8
AL061851,1851-10-16 00:00:00,28.7,282.0
AL061853,1853-09-26 00:00:00,25.8,298.0
AL061856,1856-09-18 00:00:00,32.0,311.2
AL061858,1858-10-21 00:00:00,21.5,286.4
AL061859,1859-10-02 00:00:00,17.5,284.6
AL061860,1860-09-30 00:00:00,22.4,269.0
AL061861,1861-10-06 00:00:00,20.0,314.0
AL061862,1862-11-22 00:00:00,10.5,280.5
AL061863,1863-09-16 00:00:00,24.7,280.1
AL061865,1865-09-28 12:00:00,25.5,290.5
AL061866,1866-09-24 00:00:00,13.2,325.0
AL061867,1867-09-29 00:00:00,30.1,286.4
AL061869,1869-09-07 00:00:00,27.0,285.5
AL061870,1870-10-05 00:00:00,17.5,286.0
AL061871,1871-09-05 00:00:00,26.0,269.9
AL061874,1874-09-25 00:00:00,17.5,273.6
AL061875,1875-10-12 00:00:00,27.3,285.2
AL061877,1877-10-13 00:00:00,27.0,312.0
AL061878,1878-09-12 00:00:00,12.5,315.0
AL061879,1879-10-09 00:00:00,14.2,304.0
AL061880,1880-09-06 00:00:00,23.9,271.4
AL061881,1881-09-07 00:00:00,23.7,291.0
AL061882,1882-10-05 00:00:00,14.2,278.4
AL061885,1885-09-24 00:00:00,26.4,272.2
AL061886,1886-08-15 00:00:00,14.6,305.5
AL061887,1887-08-14 12:00:00,17.0,301.0
AL061888,1888-09-23 12:00:00,24.3,279.0
AL061889,1889-09-12 00:00:00,15.7,300.5
AL061891,1891-09-29 06:00:00,20.7,305.4
AL061892,1892-09-25 06:00:00,19.5,267.8
AL061893,1893-08-15 12:00:00,18.1,339.8
AL061894,1894-10-11 00:00:00,10.8,302.3
AL061895,1895-10-13 06:00:00,19.4,266.3
AL061896,1896-10-26 06:00:00,8.7,315.8
AL061897,1897-10-23 06:00:00,24.5,282.7
AL061898,1898-09-20 12:00:00,11.0,280.2
AL061899,1899-10-02 06:00:00,20.0,275.9
AL061900,1900-10-10 06:00:00,21.0,268.6
AL061901,1901-08-25 12:00:00,16.0,338.0
AL061903,1903-09-26 06:00:00,22.9,301.2
AL061904,1904-10-31 12:00:00,20.0,268.7
AL061906,1906-09-19 12:00:00,12.0,283.0
AL061908,1908-09-07 12:00:00,15.4,308.3
AL061909,1909-08-20 06:00:00,15.4,304.7
AL061911,1911-10-26 00:00:00,22.5,284.5
AL061912,1912-10-11 12:00:00,18.5,279.3
AL061913,1913-10-28 00:00:00,18.0,273.5
AL061915,1915-09-21 12:00:00,12.3,299.0
AL061916,1916-08-12 06:00:00,13.4,305.0
AL061918,1918-09-09 00:00:00,13.9,300.2
AL061921,1921-10-20 00:00:00,12.7,279.9
AL061923,1923-10-12 06:00:00,10.4,267.0
AL061924,1924-09-20 00:00:00,15.8,337.4
AL061926,1926-09-11 00:00:00,16.6,278.3
AL061927,1927-10-16 00:00:00,16.5,273.0
AL061928,1928-10-10 00:00:00,16.7,324.4
AL061931,1931-09-06 18:00:00,12.4,297.3
AL061932,1932-09-09 06:00:00,19.2,266.7
AL061933,1933-08-13 12:00:00,12.3,338.5
AL061934,1934-09-01 00:00:00,28.8,288.0
AL061935,1935-10-18 12:00:00,13.2,279.0
AL061936,1936-08-04 06:00:00,18.8,300.0
AL061937,1937-09-13 06:00:00,17.0,303.6
AL061938,1938-09-09 12:00:00,12.8,340.6
AL061939,1939-10-28 12:00:00,15.0,278.0
AL061940,1940-09-18 12:00:00,12.0,278.5
AL061941,1941-10-15 06:00:00,20.7,291.0
AL061942,1942-09-18 12:00:00,35.0,295.0
AL061943,1943-09-15 18:00:00,23.8,266.1
AL061944,1944-09-09 00:00:00,25.0,265.0
AL061945,1945-08-29 06:00:00,13.6,277.7
AL061946,1946-10-05 18:00:00,18.2,272.5
AL061947,1947-09-20 06:00:00,19.2,282.3
AL061948,1948-09-04 06:00:00,14.3,339.8
AL061949,1949-09-05 06:00:00,27.3,319.6
AL061950,1950-09-08 06:00:00,15.5,319.0
AL061951,1951-09-01 06:00:00,12.5,328.0
AL061952,1952-09-24 00:00:00,20.0,290.8
AL061953,1953-09-08 06:00:00,18.3,294.9
AL061954,1954-08-25 12:00:00,23.8,285.0
AL061955,1955-09-02 06:00:00,19.0,328.9
AL061956,1956-09-11 18:00:00,23.5,284.3
AL061957,1957-09-16 00:00:00,20.8,267.0
AL061958,1958-09-04 12:00:00,10.1,315.2
AL061959,1959-08-18 00:00:00,14.3,302.1
AL061960,1960-09-12 18:00:00,22.0,267.0
AL061961,1961-09-12 12:00:00,25.8,282.0
AL061962,1962-06-29 00:00:00,32.2,282.3
AL061963,1963-09-23 12:00:00,11.2,308.5
AL061964,1964-08-28 12:00:00,14.0,343.0
AL061965,1965-10-12 12:00:00,16.5,312.5
AL061966,1966-08-21 00:00:00,12.9,339.5
AL061968,1968-08-26 12:00:00,26.6,273.0
AL061969,1969-07-25 06:00:00,9.0,333.0
AL061971,1971-08-10 12:00:00,26.7,280.1
AL061972,1972-07-31 12:00:00,29.0,303.0
AL061973,1973-07-30 12:00:00,32.6,285.9
AL061974,1974-08-10 12:00:00,38.0,290.0
AL061975,1975-07-28 12:00:00,29.0,274.0
AL061976,1976-07-28 18:00:00,28.0,307.7
AL061977,1977-09-03 06:00:00,26.8,273.7
AL061978,1978-08-07 12:00:00,13.0,325.0
AL061979,1979-07-15 12:00:00,12.5,313.7
AL061980,1980-08-14 00:00:00,12.7,324.5
AL061981,1981-06-29 12:00:00,36.0,295.0
AL061982,1982-09-13 12:00:00,19.8,290.5
AL061983,1983-09-26 18:00:00,28.0,287.0
AL061984,1984-08-28 18:00:00,10.5,309.0
AL061985,1985-09-08 12:00:00,20.0,333.0
AL061986,1986-08-30 12:00:00,12.5,325.5
AL061987,1987-08-30 12:00:00,14.0,328.0
AL061988,1988-09-07 00:00:00,12.5,342.5
AL061989,1989-08-08 18:00:00,15.8,339.2
AL061990,1990-08-02 18:00:00,38.0,337.0
AL061991,1991-09-04 12:00:00,26.7,304.1
AL061992,1992-09-21 18:00:00,30.0,327.0
AL061993,1993-08-23 12:00:00,13.6,329.2
AL061994,1994-09-09 12:00:00,13.1,303.2
AL061995,1995-08-05 18:00:00,20.2,264.8
AL061996,1996-08-23 12:00:00,14.0,339.0
AL061997,1997-07-17 06:00:00,12.0,308.5
AL061998,1998-09-08 18:00:00,25.5,265.5
AL061999,1999-08-24 06:00:00,11.5,306.4
AL062000,2000-08-17 12:00:00,14.2,308.1
AL062001,2001-09-01 18:00:00,12.5,325.7
AL062002,2002-09-05 18:00:00,28.0,266.2
AL062003,2003-07-19 18:00:00,12.3,316.5
AL062004,2004-08-25 00:00:00,11.1,324.8
AL062005,2005-07-21 18:00:00,25.0,285.0
AL062006,2006-08-24 18:00:00,12.7,298.4
AL062007,2007-08-31 12:00:00,11.5,303.4
AL062008,2008-08-15 12:00:00,18.4,292.6
AL062009,2009-09-01 18:00:00,16.7,302.7
AL062010,2010-08-21 12:00:00,10.7,328.9
AL062011,2011-08-12 12:00:00,34.7,294.0
AL062012,2012-08-03 06:00:00,12.2,336.9
AL062013,2013-08-25 12:00:00,18.7,265.8
AL062014,2014-09-10 18:00:00,13.7,326.8
AL062015,2015-08-30 00:00:00,11.6,342.5
AL062016,2016-08-16 18:00:00,12.0,327.8
AL062017,2017-07-30 18:00:00,28.4,274.6
AL062018,2018-08-30 06:00:00,12.8,343.1
AL062019,2019-08-26 12:00:00,31.7,287.3
AL062020,2020-07-05 12:00:00,27.7,271.2
AL062021,2021-08-09 18:00:00,13.9,301.3
